angle, reflectivity
5, 2
14, 2
25, 2
35, 2
45, 2
54, 3
63, 2
71, 2
81, 2
90, 2
99, 2
109, 2
118, 2
127, 2
136, 2
145, 2
154, 2
163, 3
172, 2
181, 2
190, 2
199, 2
209, 2
217, 2
226, 2
235, 2
244, 2
253, 3
262, 2
271, 2
281, 2
289, 3
298, 2
307, 2
316, 2
325, 1
334, 2
343, 2
353, 3
361, 2
371, 3
380, 3
389, 2
398, 2
407, 2
416, 2
425, 2
434, 2
443, 2
452, 2
461, 1
471, 2
479, 2
488, 2
497, 2
507, 2
517, 2
526, 2
535, 2
543, 2
553, 2
562, 2
571, 2
580, 2
589, 2
599, 2
608, 2
617, 2
625, 2
635, 3
644, 3
653, 3
661, 3
671, 2
680, 2
689, 2
698, 2
707, 2
717, 3
726, 3
735, 2
744, 2
753, 2
762, 2
771, 2
780, 2
789, 2
798, 2
807, 2
816, 2
825, 2
834, 1
843, 2
853, 2
862, 3
871, 2
880, 2
889, 3
898, 3
907, 2
916, 2
926, 2
935, 2
943, 2
953, 2
962, 2
971, 3
979, 3
989, 3
1000, 3
1009, 3
1018, 2
1027, 2
1036, 2
1045, 2
1055, 2
1063, 2
1073, 2
1081, 2
1091, 3
1100, 3
1109, 3
1118, 3
1127, 2
1136, 2
1145, 2
1154, 2
1163, 2
1172, 2
1181, 2
1191, 2
1199, 1
1208, 2
1217, 3
1226, 2
1235, 3
1244, 3
1253, 2
1263, 2
1271, 2
1281, 2
1289, 2
1299, 2
1308, 2
1317, 2
1326, 2
1335, 3
1344, 3
1353, 2
1362, 3
1371, 2
1380, 3
1389, 2
1398, 2
1409, 2
1418, 2
1427, 2
1436, 2
1445, 3
1455, 2
1463, 2
1473, 2
1482, 2
1491, 2
1500, 2
1509, 2
1518, 2
1527, 2
1537, 2
1547, 1
1555, 1
1564, 2
1573, 2
1583, 2
1592, 3
1601, 3
1610, 2
1619, 3
1628, 2
1637, 2
1647, 2
1655, 2
1665, 2
1673, 2
1683, 2
1692, 2
1701, 3
1710, 2
1719, 3
1728, 3
1737, 3
1747, 2
1756, 2
1765, 1
1774, 2
1783, 2
1793, 2
1802, 2
1811, 3
1820, 3
1829, 2
1838, 2
1847, 3
1857, 2
1865, 2
1875, 2
1884, 2
1893, 2
1903, 2
1911, 2
1920, 2
1930, 2
1939, 2
1948, 3
1958, 3
1967, 2
1976, 3
1985, 2
1994, 2
2003, 2
2013, 2
2021, 2
2031, 2
2040, 2
2049, 2
2059, 2
2067, 3
2076, 2
2085, 2
2094, 2
2103, 2
2113, 2
2122, 2
2131, 2
2141, 2
2150, 2
2159, 2
2168, 2
2177, 2
2186, 2
2196, 2
2205, 2
2214, 2
2223, 2
2232, 2
2241, 2
2251, 2
2259, 2
2269, 2
2278, 1
2287, 2
2297, 2
2306, 2
2315, 3
2324, 3
2333, 2
2342, 2
2351, 2
2361, 2
2369, 2
2379, 2
2387, 2
2396, 2
2406, 2
2415, 3
2424, 3
2433, 2
2442, 2
2451, 3
2460, 3
2469, 2
2478, 2
2488, 2
2497, 2
2506, 2
2515, 3
2524, 2
2533, 3
2543, 2
2551, 2
2561, 2
2569, 2
2579, 2
2588, 2
2597, 2
2607, 2
2615, 2
2625, 2
2633, 2
2643, 2
2652, 2
2661, 3
2670, 3
2679, 2
2689, 3
2697, 3
2707, 2
2716, 2
2725, 2
2734, 2
2743, 2
2753, 2
2762, 2
2771, 2
2780, 2
2789, 2
2798, 3
2807, 2
2816, 2
2825, 2
2834, 2
2843, 2
2852, 2
2861, 2
2871, 2
2880, 2
2889, 2
2898, 2
2907, 2
2917, 2
2926, 2
2935, 2
2944, 2
2953, 2
2963, 2
2971, 2
2981, 2
2990, 2
2999, 2
3009, 2
3019, 2
3028, 2
3038, 3
3047, 3
3056, 2
3065, 2
3074, 2
3083, 2
3093, 2
3102, 2
3111, 2
3120, 2
3129, 2
3139, 3
3147, 3
3157, 3
3166, 3
3175, 3
3184, 2
3193, 2
3202, 2
3211, 2
3220, 2
3229, 2
3239, 2
3248, 3
3257, 1
3266, 2
3275, 2
3285, 2
3294, 2
3303, 2
3312, 2
3321, 2
3330, 2
3339, 2
3349, 2
3357, 1
3367, 2
3376, 2
3385, 2
3394, 3
3403, 3
3412, 3
3421, 2
3431, 2
3440, 2
3449, 2
3458, 2
3467, 2
3477, 2
3485, 2
3494, 2
3503, 2
3513, 3
3521, 3
3530, 2
3540, 2
3549, 2
3558, 2
3567, 2
3576, 2
3586, 2
3595, 3
3600, 3
3601, 2
3601, 3
3601, 3
3601, 2
